Norway_index,z_index_index,ATC_match,best_z_index_index
59,34798,True,33707
59,34799,True,33707
59,67443,True,33707
59,67456,True,33707
60,298,True,7064
60,307,True,7064
60,1370,True,7064
60,1371,True,7064
60,74050,True,7064
60,74493,True,7064
61,298,True,264
61,307,True,264
61,1370,True,264
61,1371,True,264
61,74050,True,264
61,74493,True,264
64,296,True,33936
64,657,True,33936
64,1060,True,33936
64,1379,True,33936
64,1681,True,33936
64,1753,True,33936
64,6644,True,33936
64,6871,True,33936
64,22806,True,33936
64,25371,True,33936
64,27724,True,33936
64,32929,True,33936
64,34573,True,33936
64,34594,True,33936
64,34595,True,33936
64,34596,True,33936
64,34597,True,33936
64,37848,True,33936
64,39664,True,33936
64,42039,True,33936
64,44236,True,33936
64,46148,True,33936
64,48548,True,33936
64,48549,True,33936
64,48550,True,33936
64,48551,True,33936
64,49625,True,33936
64,49626,True,33936
64,49627,True,33936
64,49629,True,33936
64,50271,True,33936
64,51797,True,33936
64,52123,True,33936
64,53153,True,33936
64,57698,True,33936
64,57699,True,33936
64,57700,True,33936
64,57701,True,33936
64,58683,True,33936
64,58684,True,33936
64,59311,True,33936
64,64583,True,33936
64,65078,True,33936
64,65088,True,33936
64,65089,True,33936
64,65090,True,33936
64,65096,True,33936
64,65097,True,33936
64,65098,True,33936
64,65099,True,33936
64,65405,True,33936
64,65489,True,33936
64,65860,True,33936
64,67158,True,33936
64,68493,True,33936
64,69958,True,33936
64,69959,True,33936
64,69960,True,33936
64,71092,True,33936
64,71095,True,33936
64,71106,True,33936
64,71108,True,33936
64,71197,True,33936
68,374,True,15490
68,478,True,15490
68,479,True,15490
68,480,True,15490
68,1035,True,15490
68,1036,True,15490
68,3806,True,15490
68,7621,True,15490
68,16300,True,15490
68,16301,True,15490
68,16302,True,15490
68,22422,True,15490
68,28023,True,15490
68,32916,True,15490
68,32918,True,15490
68,50754,True,15490
69,3363,True,212296
69,6542,True,212296
69,6635,True,212296
69,6722,True,212296
69,11257,True,212296
69,17444,True,212296
69,22117,True,212296
69,26674,True,212296
69,28767,True,212296
