Belgium_index,z_index_index,ATC_match,best_z_index_index
13,36330,True,
13,36331,True,
13,37291,True,
13,42741,True,
13,49708,True,
13,63282,True,
13,63283,True,
13,64452,True,
13,65458,True,
13,65540,True,
14,1085,True,
14,1401,True,
14,4178,True,
14,4179,True,
14,6202,True,
14,7955,True,
14,7956,True,
14,7957,True,
14,7958,True,
14,7959,True,
14,7960,True,
14,7961,True,
14,14744,True,
14,22615,True,
14,22616,True,
14,26309,True,
14,28279,True,
14,33379,True,
14,34572,True,
14,36330,True,
14,36331,True,
14,37291,True,
14,42741,True,
14,49708,True,
14,63282,True,
14,63283,True,
14,64452,True,
14,65458,True,
14,65540,True,
15,1219,True,18260
15,2846,True,18260
15,3819,True,18260
15,4515,True,18260
16,1219,True,17485
16,2846,True,17485
16,3819,True,17485
16,4515,True,17485
17,1219,True,17485
17,2846,True,17485
17,3819,True,17485
17,4515,True,17485
18,1219,True,17485
18,2846,True,17485
18,3819,True,17485
18,4515,True,17485
19,4917,True,136050
20,4917,True,136050
21,4917,True,136050
22,4917,True,136050
23,94,True,61611
23,4919,True,61611
23,9994,True,61611
23,26305,True,61611
23,26306,True,61611
23,26307,True,61611
23,26308,True,61611
24,94,True,61611
24,4919,True,61611
24,9994,True,61611
24,26305,True,61611
24,26306,True,61611
24,26307,True,61611
24,26308,True,61611
25,4974,True,76910
25,5013,True,76910
25,18128,True,76910
26,6411,True,86118
26,12945,True,86118
26,22000,True,86118
26,22001,True,86118
26,23243,True,86118
26,28670,True,86118
26,28671,True,86118
26,28839,True,86118
26,29129,True,86118
26,30478,True,86118
26,36879,True,86118
26,60608,True,86118
26,64839,True,86118
27,6411,True,86118
27,12945,True,86118
27,22000,True,86118
27,22001,True,86118
27,23243,True,86118
27,28670,True,86118
27,28671,True,86118
27,28839,True,86118
27,29129,True,86118
27,30478,True,86118
27,36879,True,86118
27,60608,True,86118
27,64839,True,86118
28,6411,True,75264
28,12945,True,75264
28,22000,True,75264
28,22001,True,75264
28,23243,True,75264
28,28670,True,75264
28,28671,True,75264
28,28839,True,75264
28,29129,True,75264
28,30478,True,75264
28,36879,True,75264
28,60608,True,75264
28,64839,True,75264
29,6411,True,112852
29,12945,True,112852
29,22000,True,112852
29,22001,True,112852
29,23243,True,112852
29,28670,True,112852
29,28671,True,112852
29,28839,True,112852
29,29129,True,112852
29,30478,True,112852
29,36879,True,112852
29,60608,True,112852
29,64839,True,112852
30,6411,True,112852
30,12945,True,112852
30,22000,True,112852
30,22001,True,112852
30,23243,True,112852
30,28670,True,112852
30,28671,True,112852
30,28839,True,112852
30,29129,True,112852
30,30478,True,112852
30,36879,True,112852
30,60608,True,112852
30,64839,True,112852
31,6411,True,112852
31,12945,True,112852
31,22000,True,112852
31,22001,True,112852
31,23243,True,112852
31,28670,True,112852
