Name medicinal product,Strength,Pharmaceutical form,Pack Size,Pack ID,Start Date,Presumed End Date,End Date,Reason,Impact,MAH,Authorization number,SP Duration,HUMAN VETERINARY,ATC Code,cleaned_atc,PRK
Accuretic,10 mg - 12.5 mg,Film-coated tablet,28,164367-01,2018-06-19,2018-09-01,2018-08-23,Delay in the release of the end product,,Pfizer SA-NV - BE - Active,BE164367,65.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,
Accuretic,10 mg - 12.5 mg,Film-coated tablet,28,164367-01,2019-06-12,2020-01-06,2019-12-16,Delay in the release of the end product,Adaptation of the treatment possible,Pfizer SA-NV - BE - Active,BE164367,187.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,
Accuretic,20 mg - 12.5 mg,Film-coated tablet,28,164376-01,2018-04-25,2018-09-01,2018-08-03,Delay in the release of the end product,,Pfizer SA-NV - BE - Active,BE164376,100.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,39039
Accuretic,20 mg - 12.5 mg,Film-coated tablet,28,164376-01,2016-03-16,2016-04-25,2016-04-14,Delay in the release of the end product,,Pfizer SA-NV - BE - Active,BE164376,29.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,39039
Accuretic,20 mg - 12.5 mg,Film-coated tablet,28,164376-01,2017-08-16,2017-10-31,2017-10-17,Delay in the release of the end product,,Pfizer SA-NV - BE - Active,BE164376,62.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,39039
Accuretic,20 mg - 12.5 mg,Film-coated tablet,28,164376-01,2022-01-06,2022-02-07,2022-02-04,Delay in production,Adaptation of the treatment possible,Pfizer SA-NV - BE - Active,BE164376,29.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,39039
Accuretic,20 mg - 12.5 mg,Film-coated tablet,28,164376-01,2018-11-22,2019-11-15,2019-11-14,Delay in the release of the end product,Adaptation of the treatment possible,Pfizer SA-NV - BE - Active,BE164376,357.0,HUMAN,C09BA06 - Quinapril and Diuretics,C09BA06,39039
Accusol 35,,Solution for haemodialysis/haemofiltration,2 x 5000 ml,283184-01,2019-01-01,2026-12-31,,Other reason,Adaptation of the treatment possible,Nikkiso Belgium BV-SRL - BE - Active,BE283184,,HUMAN,B05ZB - Hemofiltrates,B05ZB,
Accusol 35 Kalium,2 mmol/l,Solution for haemodialysis/haemofiltration,2 x 5000 ml,283193-01,2020-09-01,2026-12-31,,Other reason,Adaptation of the treatment possible,Nikkiso Belgium BV-SRL - BE - Active,BE283193,,HUMAN,B05ZB - Hemofiltrates,B05ZB,71129
Accusol 35 Kalium,4 mmol/l,Solution for haemodialysis/haemofiltration,2 x 5000 ml,283202-01,2019-01-01,2026-12-31,,Other reason,Adaptation of the treatment possible,Nikkiso Belgium BV-SRL - BE - Active,BE283202,,HUMAN,B05ZB - Hemofiltrates,B05ZB,71137
Aceclofenac Teva,100 mg,Film-coated tablet,20,373983-01,2019-07-22,2020-01-27,2020-01-28,Delay in the release of the end product,At least three alternatives available,Teva Pharma Belgium SA-NV - BE - Active,BE373983,190.0,HUMAN,M01AB16 - Aceclofenac,M01AB16,49522
Acegon,50 µg/ml,Solution for injection,10 x 6 ml,446373-06,2016-05-25,2016-08-31,2016-06-27,Production problems,,Laboratorios Syva S.A. - ES - Active,BE-V446373,33.0,VETERINARY,QH01CA01 - Gonadorelin,QH01CA01,
Acetandos,200 mg,Granules,30,215336-01,2018-02-14,2019-02-14,2019-04-02,Delay in the release of the end product,,Sandoz SA-NV - BE - Active,BE215336,412.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,83410
Acetylcysteïn Sandoz,600 mg,Effervescent tablet,60,459511-05,2021-10-01,2022-02-28,2022-03-01,Other reason,Under evaluation,Sandoz SA-NV - BE - Active,BE459511,151.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,25038
Acetylcysteïn Sandoz,600 mg,Effervescent tablet,30,459511-03,2017-10-31,2018-01-19,2017-12-18,Delay in the release of the end product,,Sandoz SA-NV - BE - Active,BE459511,48.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteïn Sandoz,600 mg,Powder for oral solution,30,449671-04,2018-01-17,2018-03-08,2018-02-08,Delay in the release of the end product,,Sandoz SA-NV - BE - Active,BE449671,22.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,34789
Acetylcysteïn Sandoz,600 mg,Powder for oral solution,10,449671-02,2023-10-13,2024-03-31,2024-04-01,Other reason,At least three alternative packsizes available,Sandoz SA-NV - BE - Active,BE449671,171.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,
Acetylcysteïn Sandoz,600 mg,Powder for oral solution,30,449671-04,2023-10-13,2024-03-31,2024-04-01,Other reason,At least three alternative packsizes available,Sandoz SA-NV - BE - Active,BE449671,171.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,34789
Acetylcysteine Apotex,600 mg,Effervescent tablet,60,162696-04,2021-03-23,2022-03-22,2022-03-26,Delay in production,At least three alternatives available,Apotex SA-NV - BE - Decommissioned,BE162696,368.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,25038
Acetylcysteine Apotex,600 mg,Granules for oral solution,60,216842-04,2021-09-10,2022-08-30,2022-09-27,Other reason,At least three alternative packsizes available,Apotex SA-NV - BE - Decommissioned,BE216842,382.0,HUMAN,R05CB01 - Acetylcysteine,R05CB01,34789
