Netherlands_index,z_index_index,ATC_match,best_z_index_index
0,26,True,795
0,26313,True,795
0,49610,True,795
0,52116,True,795
0,53124,True,795
0,53125,True,795
0,53152,True,795
0,53154,True,795
0,53342,True,795
0,53344,True,795
0,53345,True,795
0,53346,True,795
0,53347,True,795
0,54592,True,795
0,57691,True,795
0,57692,True,795
0,57693,True,795
0,62382,True,795
0,62384,True,795
0,62542,True,795
0,62543,True,795
0,63945,True,795
0,65039,True,795
0,65040,True,795
0,65041,True,795
0,65091,True,795
0,65842,True,795
0,65843,True,795
0,65844,True,795
0,66341,True,795
0,66362,True,795
0,69957,True,795
0,71089,True,795
1,427,True,124
1,428,True,124
1,584,True,124
1,19222,True,124
1,20496,True,124
1,32729,True,124
1,41485,True,124
1,50275,True,124
1,71110,True,124
2,573,True,1325
2,1215,True,1325
2,2609,True,1325
3,851,True,79480
3,853,True,79480
3,1374,True,79480
3,3774,True,79480
3,4196,True,79480
3,4198,True,79480
3,6210,True,79480
3,6212,True,79480
3,13318,True,79480
3,39021,True,79480
3,51552,True,79480
4,421,True,24414
5,1628,True,150266
5,1630,True,150266
5,2569,True,150266
5,4289,True,150266
5,12467,True,150266
5,30747,True,150266
5,30748,True,150266
5,39349,True,150266
6,897,True,45632
6,898,True,45632
6,899,True,45632
6,1336,True,45632
6,1337,True,45632
6,1338,True,45632
6,4823,True,45632
7,4346,True,85111
7,4347,True,85111
7,5829,True,85111
7,5830,True,85111
7,6783,True,85111
7,9073,True,85111
7,11166,True,85111
7,24991,True,85111
7,45573,True,85111
8,1698,True,23094
8,3889,True,23094
9,1784,True,2828
10,4346,True,89214
10,4347,True,89214
10,5829,True,89214
10,5830,True,89214
10,6783,True,89214
10,9073,True,89214
10,11166,True,89214
10,24991,True,89214
10,45573,True,89214
11,3978,True,114359
11,8321,True,114359
11,23611,True,114359
11,30662,True,114359
11,39625,True,114359
11,48553,True,114359
11,61393,True,114359
11,61394,True,114359
11,65129,True,114359
12,897,True,
12,898,True,
12,899,True,
12,1336,True,
12,1337,True,
12,1338,True,
12,4823,True,
13,815,True,29238
13,904,True,29238
13,905,True,29238
13,1351,True,29238
13,3150,True,29238
13,3404,True,29238
13,11335,True,29238
13,12486,True,29238
13,34626,True,29238
13,34920,True,29238
14,6081,True,46310
14,6082,True,46310
14,6573,True,46310
14,6574,True,46310
14,26533,True,46310
14,28506,True,46310
14,28508,True,46310
14,44234,True,46310
14,59306,True,46310
14,62623,True,46310
14,68404,True,46310
15,6031,True,79294
16,1509,True,122904
16,1600,True,122904
16,1601,True,122904
16,1602,True,122904
16,2779,True,122904
16,13666,True,122904
16,13667,True,122904
16,25902,True,122904
16,25903,True,122904
16,25904,True,122904
16,28429,True,122904
17,927,True,37206
18,432,True,72419
18,1690,True,72419
18,4009,True,72419
18,4010,True,72419
18,4011,True,72419
19,22572,True,57843
19,30601,True,57843
19,65917,True,57843
20,1317,True,67903
20,2498,True,67903
20,2611,True,67903
20,2612,True,67903
20,2613,True,67903
20,2640,True,67903
20,2734,True,67903
20,4835,True,67903
20,5750,True,67903
20,8335,True,67903
20,15146,True,67903
20,15147,True,67903
20,15927,True,67903
20,16303,True,67903
20,20544,True,67903
20,20573,True,67903
20,23590,True,67903
20,24390,True,67903
20,28396,True,67903
20,29836,True,67903
20,30490,True,67903
20,35924,True,67903
20,36780,True,67903
20,54370,True,67903
20,73936,True,67903
21,24,True,4855
21,25,True,4855
21,240,True,4855
21,3826,True,4855
21,5144,True,4855
21,8714,True,4855
22,4346,True,78344
22,4347,True,78344
22,5829,True,78344
22,5830,True,78344
22,6783,True,78344
22,9073,True,78344
22,11166,True,78344
22,24991,True,78344
22,45573,True,78344
23,6345,True,67814
23,6347,True,67814
23,6348,True,67814
23,6572,True,67814
23,11097,True,67814
24,540,True,26298
24,5853,True,26298
25,96,True,1104
25,215,True,1104
25,216,True,1104
25,217,True,1104
25,241,True,1104
25,1022,True,1104
25,1612,True,1104
25,27726,True,1104
25,39804,True,1104
25,45428,True,1104
25,45951,True,1104
25,69682,True,1104
26,4404,True,130486
27,11,True,2186
27,646,True,2186
27,1843,True,2186
27,21894,True,2186
27,28705,True,2186
28,1721,True,77135
28,2357,True,77135
28,4113,True,77135
28,28083,True,77135
28,28978,True,77135
28,47763,True,77135
28,63319,True,77135
28,65785,True,77135
29,890,True,2461
29,8222,True,2461
29,12525,True,2461
29,12526,True,2461
30,815,True,6661
30,904,True,6661
30,905,True,6661
30,1351,True,6661
30,3150,True,6661
30,3404,True,6661
30,11335,True,6661
30,12486,True,6661
30,34626,True,6661
30,34920,True,6661
31,23964,True,123757
31,23967,True,123757
31,23970,True,123757
31,23973,True,123757
32,573,True,17922
32,1215,True,17922
32,2609,True,17922
33,573,True,17922
33,1215,True,17922
33,2609,True,17922
34,1858,True,125148
34,1859,True,125148
34,2583,True,125148
34,2584,True,125148
34,2845,True,125148
34,3138,True,125148
34,4952,True,125148
34,5181,True,125148
34,5183,True,125148
34,5184,True,125148
34,5186,True,125148
34,49435,True,125148
35,1033,True,39284
35,1234,True,39284
35,24518,True,39284
35,49057,True,39284
36,890,True,72400
36,8222,True,72400
36,12525,True,72400
36,12526,True,72400
37,6081,True,49905
37,6082,True,49905
37,6573,True,49905
