France_index,z_index_index,ATC_match,best_z_index_index
56,50492,True,
57,1317,True,
57,2498,True,
57,2611,True,
57,2612,True,
57,2613,True,
57,2640,True,
57,2734,True,
57,4835,True,
57,5750,True,
57,8335,True,
57,15146,True,
57,15147,True,
57,15927,True,
57,16303,True,
57,20544,True,
57,20573,True,
57,23590,True,
57,24390,True,
57,28396,True,
57,29836,True,
57,30490,True,
57,35924,True,
57,36780,True,
57,54370,True,
57,73936,True,
58,6081,True,
58,6082,True,
58,6573,True,
58,6574,True,
58,26533,True,
58,28506,True,
58,28508,True,
58,44234,True,
58,59306,True,
58,62623,True,
58,68404,True,
59,12488,True,
59,12489,True,
59,12490,True,
59,12535,True,
59,27385,True,
59,52666,True,
59,54141,True,
60,54024,True,
61,54024,True,
62,47979,True,
63,12864,True,
64,23577,True,
64,23578,True,
64,23579,True,
64,30402,True,
64,30575,True,
64,30800,True,
64,30801,True,
65,2922,True,
65,18125,True,
65,22191,True,
65,41778,True,
65,61983,True,
68,835,True,
68,8009,True,
68,57838,True,
68,65462,True,
69,835,True,
69,8009,True,
69,57838,True,
69,65462,True,
70,25005,True,
70,35092,True,
70,36592,True,
70,63037,True,
71,1055,True,
71,1056,True,
71,49429,True,
71,49430,True,
71,50439,True,
71,58687,True,
71,58688,True,
71,64295,True,
71,64296,True,
71,64297,True,
72,298,True,
72,307,True,
72,1370,True,
72,1371,True,
72,74050,True,
72,74493,True,
73,4704,True,
73,4705,True,
73,4706,True,
73,4707,True,
73,44699,True,
74,6862,True,
74,8706,True,
75,47979,True,
76,17665,True,
76,17678,True,
76,25356,True,
76,65695,True,
78,9953,True,
78,9955,True,
78,9956,True,
78,9957,True,
78,9958,True,
78,9959,True,
78,9960,True,
78,9961,True,
78,9962,True,
78,9963,True,
78,9964,True,
78,9965,True,
78,9966,True,
78,14465,True,
81,297,True,
81,3787,True,
81,3788,True,
81,3881,True,
81,7438,True,
81,7440,True,
81,7441,True,
81,7442,True,
81,7443,True,
81,7444,True,
81,9199,True,
81,16238,True,
81,21064,True,
81,23115,True,
81,23116,True,
81,23117,True,
81,23118,True,
81,23119,True,
81,23120,True,
81,23121,True,
81,23122,True,
81,23123,True,
81,23124,True,
81,23405,True,
81,25377,True,
81,25378,True,
81,25379,True,
81,25380,True,
81,25381,True,
81,25383,True,
81,25384,True,
82,267,True,
82,549,True,
82,550,True,
82,648,True,
82,2582,True,
83,288,True,
83,289,True,
83,22674,True,
83,22884,True,
83,30817,True,
83,34122,True,
83,34674,True,
83,40554,True,
83,41713,True,
83,41714,True,
83,41715,True,
83,45155,True,
83,57427,True,
83,59022,True,
83,63251,True,
83,69850,True,
84,15007,True,
84,15044,True,
84,15081,True,
84,18261,True,
84,19352,True,
84,19389,True,
84,19426,True,
84,19463,True,
84,37337,True,
84,37338,True,
84,37339,True,
85,297,True,
85,3787,True,
85,3788,True,
85,3881,True,
85,7438,True,
85,7440,True,
85,7441,True,
85,7442,True,
85,7443,True,
85,7444,True,
85,9199,True,
85,16238,True,
85,21064,True,
85,23115,True,
85,23116,True,
85,23117,True,
85,23118,True,
85,23119,True,
85,23120,True,
85,23121,True,
85,23122,True,
85,23123,True,
85,23124,True,
85,23405,True,
85,25377,True,
85,25378,True,
85,25379,True,
85,25380,True,
85,25381,True,
85,25383,True,
85,25384,True,
87,799,True,
87,800,True,
87,801,True,
87,910,True,
87,1227,True,
87,2758,True,
87,3757,True,
87,3758,True,
87,3759,True,
87,63000,True,
87,63001,True,
87,69197,True,
88,799,True,
88,800,True,
88,801,True,
88,910,True,
88,1227,True,
88,2758,True,
88,3757,True,
88,3758,True,
88,3759,True,
88,63000,True,
88,63001,True,
88,69197,True,
89,14451,True,
89,14452,True,
90,152,True,
90,732,True,
90,733,True,
90,734,True,
90,32059,True,
90,33058,True,
90,37847,True,
90,42771,True,
90,49098,True,
90,52575,True,
91,99,True,
91,74352,True,
93,297,True,
93,3787,True,
93,3788,True,
93,3881,True,
93,7438,True,
93,7440,True,
93,7441,True,
93,7442,True,
93,7443,True,
93,7444,True,
93,9199,True,
93,16238,True,
93,21064,True,
93,23115,True,
93,23116,True,
93,23117,True,
93,23118,True,
93,23119,True,
93,23120,True,
93,23121,True,
93,23122,True,
93,23123,True,
93,23124,True,
93,23405,True,
93,25377,True,
93,25378,True,
93,25379,True,
93,25380,True,
93,25381,True,
93,25383,True,
93,25384,True,
95,1534,True,
95,1535,True,
95,6030,True,
95,16274,True,
95,33401,True,
95,44180,True,
95,45525,True,
95,45885,True,
95,54444,True,
95,62314,True,
95,62315,True,
95,62317,True,
95,62318,True,
96,28737,True,
96,28738,True,
97,1080,True,
98,1080,True,
99,1835,True,
99,1872,True,
99,18070,True,
99,18071,True,
99,18072,True,
99,18073,True,
99,71517,True,
101,1534,True,
101,1535,True,
101,6030,True,
101,16274,True,
101,33401,True,
101,44180,True,
101,45525,True,
101,45885,True,
101,54444,True,
101,62314,True,
101,62315,True,
101,62317,True,
101,62318,True,
102,504,True,
102,516,True,
102,1882,True,
102,15558,True,
102,15559,True,
103,755,True,
103,1465,True,
103,1725,True,
103,1726,True,
103,5257,True,
103,8016,True,
103,8017,True,
103,8018,True,
103,8019,True,
103,8026,True,
103,8027,True,
103,8028,True,
103,8031,True,
103,8032,True,
103,8038,True,
103,8039,True,
103,8040,True,
103,8041,True,
103,8046,True,
103,11174,True,
103,12209,True,
103,12580,True,
103,16250,True,
103,22491,True,
103,47114,True,
103,71067,True,
103,71199,True,
104,11865,True,
105,671,True,
106,755,True,
106,1465,True,
106,1725,True,
106,1726,True,
106,5257,True,
106,8016,True,
106,8017,True,
106,8018,True,
106,8019,True,
106,8026,True,
106,8027,True,
106,8028,True,
106,8031,True,
106,8032,True,
106,8038,True,
106,8039,True,
106,8040,True,
106,8041,True,
106,8046,True,
106,11174,True,
106,12209,True,
106,12580,True,
106,16250,True,
106,22491,True,
106,47114,True,
106,71067,True,
106,71199,True,
107,17464,True,
110,3024,True,
110,3985,True,
110,18798,True,
111,144,True,
111,967,True,
111,9074,True,
112,8356,True,
112,8503,True,
112,8504,True,
113,2474,True,
113,2475,True,
113,3551,True,
113,24788,True,
113,25422,True,
113,28940,True,
113,36441,True,
114,2474,True,
114,2475,True,
114,3551,True,
114,24788,True,
114,25422,True,
114,28940,True,
114,36441,True,
115,10480,True,
116,554,True,
116,555,True,
116,556,True,
116,558,True,
116,647,True,
116,7968,True,
116,34149,True,
116,45531,True,
117,1341,True,
117,13319,True,
118,44077,True,
118,52029,True,
119,547,True,
119,548,True,
119,717,True,
119,980,True,
119,1915,True,
119,1923,True,
119,2756,True,
119,5133,True,
119,6337,True,
119,12581,True,
119,17654,True,
119,31606,True,
119,31607,True,
119,66373,True,
119,66374,True,
119,67191,True,
120,1331,True,
120,9298,True,
120,9299,True,
120,15720,True,
120,23105,True,
120,24455,True,
120,25862,True,
120,29305,True,
120,30810,True,
120,35363,True,
120,36934,True,
120,65545,True,
121,30809,True,
121,34793,True,
121,35088,True,
121,37489,True,
121,42603,True,
121,44708,True,
121,48119,True,
121,51556,True,
121,51557,True,
121,54156,True,
122,10661,True,
122,13414,True,
122,29496,True,
123,8,True,
123,10,True,
123,27,True,
123,28,True,
123,29,True,
123,285,True,
123,902,True,
123,1315,True,
123,3825,True,
124,28737,True,
124,28738,True,
125,535,True,
125,1191,True,
125,1285,True,
125,1878,True,
125,1879,True,
125,1880,True,
125,1881,True,
125,2973,True,
125,3522,True,
125,6178,True,
125,10032,True,
125,13280,True,
125,13398,True,
125,13399,True,
125,13400,True,
125,13401,True,
125,13402,True,
125,13403,True,
125,17655,True,
125,18280,True,
125,23799,True,
125,42061,True,
125,69364,True,
126,301,True,
126,414,True,
126,415,True,
126,6880,True,
127,298,True,
127,307,True,
127,1370,True,
127,1371,True,
127,74050,True,
127,74493,True,
129,1325,True,
129,1326,True,
129,3181,True,
129,3413,True,
129,3414,True,
129,3437,True,
129,3438,True,
129,3478,True,
129,3909,True,
129,3910,True,
129,11480,True,
129,11481,True,
129,11482,True,
130,799,True,
130,800,True,
130,801,True,
130,910,True,
130,1227,True,
130,2758,True,
130,3757,True,
130,3758,True,
130,3759,True,
130,63000,True,
130,63001,True,
130,69197,True,
131,799,True,
131,800,True,
131,801,True,
131,910,True,
131,1227,True,
131,2758,True,
131,3757,True,
131,3758,True,
131,3759,True,
131,63000,True,
131,63001,True,
131,69197,True,
132,799,True,
132,800,True,
132,801,True,
132,910,True,
132,1227,True,
132,2758,True,
132,3757,True,
132,3758,True,
132,3759,True,
132,63000,True,
132,63001,True,
132,69197,True,
133,799,True,
133,800,True,
133,801,True,
133,910,True,
133,1227,True,
133,2758,True,
133,3757,True,
133,3758,True,
133,3759,True,
133,63000,True,
133,63001,True,
133,69197,True,
134,30809,True,
134,34793,True,
134,35088,True,
134,37489,True,
134,42603,True,
134,44708,True,
134,48119,True,
134,51556,True,
134,51557,True,
134,54156,True,
135,30809,True,
135,34793,True,
135,35088,True,
135,37489,True,
135,42603,True,
135,44708,True,
135,48119,True,
135,51556,True,
135,51557,True,
135,54156,True,
138,1331,True,
138,9298,True,
138,9299,True,
138,15720,True,
138,23105,True,
138,24455,True,
138,25862,True,
138,29305,True,
138,30810,True,
138,35363,True,
138,36934,True,
138,65545,True,
139,26756,True,
139,34198,True,
139,39784,True,
139,42598,True,
140,7040,True,
140,11664,True,
140,21341,True,
140,21357,True,
140,21389,True,
140,21405,True,
141,3406,True,
141,3426,True,
141,4284,True,
141,6354,True,
141,20007,True,
141,22105,True,
141,22106,True,
141,28270,True,
141,28667,True,
141,30666,True,
141,33177,True,
142,3406,True,
142,3426,True,
142,4284,True,
142,6354,True,
142,20007,True,
142,22105,True,
142,22106,True,
142,28270,True,
142,28667,True,
142,30666,True,
142,33177,True,
143,645,True,
144,28737,True,
144,28738,True,
145,28702,True,
145,53624,True,
145,53625,True,
145,53626,True,
146,1835,True,
146,1872,True,
146,18070,True,
146,18071,True,
146,18072,True,
146,18073,True,
146,71517,True,
148,3024,True,
148,3985,True,
148,18798,True,
150,535,True,
150,1191,True,
150,1285,True,
150,1878,True,
150,1879,True,
150,1880,True,
150,1881,True,
150,2973,True,
150,3522,True,
150,6178,True,
150,10032,True,
150,13280,True,
150,13398,True,
150,13399,True,
150,13400,True,
150,13401,True,
150,13402,True,
150,13403,True,
150,17655,True,
150,18280,True,
150,23799,True,
150,42061,True,
150,69364,True,
151,159,True,
152,1738,True,
152,4753,True,
152,4832,True,
152,4833,True,
152,6760,True,
153,1738,True,
153,4753,True,
153,4832,True,
153,4833,True,
153,6760,True,
154,1738,True,
154,4753,True,
154,4832,True,
