Italy_index,z_index_index,ATC_match,best_z_index_index
55,24518,True,44148
55,49057,True,44148
56,4973,True,
56,5841,True,
56,6204,True,
57,4973,True,79685
57,5841,True,79685
57,6204,True,79685
58,4973,True,79685
58,5841,True,79685
58,6204,True,79685
59,4973,True,79685
59,5841,True,79685
59,6204,True,79685
60,4973,True,79685
60,5841,True,79685
60,6204,True,79685
61,4973,True,79685
61,5841,True,79685
61,6204,True,79685
62,2415,True,74950
62,3553,True,74950
62,4112,True,74950
62,4692,True,74950
62,4693,True,74950
62,5735,True,74950
62,24739,True,74950
63,2415,True,74942
63,3553,True,74942
63,4112,True,74942
63,4692,True,74942
63,4693,True,74942
63,5735,True,74942
63,24739,True,74942
64,622,True,
64,1239,True,
64,3135,True,
64,4683,True,
64,4684,True,
64,22749,True,
64,22768,True,
64,22769,True,
64,23567,True,
64,29841,True,
64,30489,True,
64,30609,True,
64,30610,True,
64,33415,True,
64,34152,True,
64,36257,True,
64,46474,True,
64,46475,True,
64,46493,True,
64,46494,True,
64,46496,True,
64,49434,True,
65,622,True,
65,1239,True,
65,3135,True,
65,4683,True,
65,4684,True,
65,22749,True,
65,22768,True,
65,22769,True,
65,23567,True,
65,29841,True,
65,30489,True,
65,30609,True,
65,30610,True,
65,33415,True,
65,34152,True,
65,36257,True,
65,46474,True,
65,46475,True,
65,46493,True,
65,46494,True,
65,46496,True,
65,49434,True,
66,257,True,1562
66,931,True,1562
66,42605,True,1562
66,46266,True,1562
66,47542,True,1562
66,73471,True,1562
66,73472,True,1562
67,622,True,137227
67,1239,True,137227
67,3135,True,137227
67,4683,True,137227
67,4684,True,137227
67,22749,True,137227
67,22768,True,137227
67,22769,True,137227
67,23567,True,137227
67,29841,True,137227
67,30489,True,137227
67,30609,True,137227
67,30610,True,137227
67,33415,True,137227
67,34152,True,137227
67,36257,True,137227
67,46474,True,137227
67,46475,True,137227
67,46493,True,137227
67,46494,True,137227
67,46496,True,137227
67,49434,True,137227
68,248,True,18384
68,515,True,18384
68,5178,True,18384
68,21868,True,18384
68,21869,True,18384
68,25271,True,18384
68,42047,True,18384
68,58347,True,18384
69,248,True,
69,515,True,
69,5178,True,
69,21868,True,
69,21869,True,
69,25271,True,
69,42047,True,
69,58347,True,
70,248,True,7943
70,515,True,7943
70,5178,True,7943
70,21868,True,7943
70,21869,True,7943
70,25271,True,7943
70,42047,True,7943
70,58347,True,7943
71,248,True,18384
71,515,True,18384
71,5178,True,18384
71,21868,True,18384
71,21869,True,18384
71,25271,True,18384
71,42047,True,18384
71,58347,True,18384
72,366,True,29882
72,371,True,29882
72,541,True,29882
72,582,True,29882
72,583,True,29882
72,1039,True,29882
72,1220,True,29882
72,3831,True,29882
72,5820,True,29882
72,5822,True,29882
72,5824,True,29882
72,5847,True,29882
72,5849,True,29882
72,6527,True,29882
72,12482,True,29882
72,12483,True,29882
72,12932,True,29882
72,28703,True,29882
72,44171,True,29882
72,51178,True,29882
72,54857,True,29882
72,71198,True,29882
72,72313,True,29882
73,6179,True,74888
73,9116,True,74888
73,17908,True,74888
73,51513,True,74888
74,6179,True,113336
74,9116,True,113336
74,17908,True,113336
74,51513,True,113336
75,6179,True,74888
75,9116,True,74888
75,17908,True,74888
75,51513,True,74888
76,6179,True,98795
76,9116,True,98795
76,17908,True,98795
76,51513,True,98795
77,6179,True,74888
77,9116,True,74888
77,17908,True,74888
77,51513,True,74888
78,6179,True,74888
78,9116,True,74888
78,17908,True,74888
78,51513,True,74888
79,4704,True,75701
79,4705,True,75701
79,4706,True,75701
79,4707,True,75701
79,44699,True,75701
80,4704,True,75701
80,4705,True,75701
80,4706,True,75701
80,4707,True,75701
80,44699,True,75701
81,4704,True,75728
81,4705,True,75728
81,4706,True,75728
81,4707,True,75728
81,44699,True,75728
82,4704,True,75728
82,4705,True,75728
82,4706,True,75728
82,4707,True,75728
82,44699,True,75728
83,4704,True,75698
83,4705,True,75698
83,4706,True,75698
83,4707,True,75698
83,44699,True,75698
84,48756,True,
84,52309,True,
84,58376,True,
85,48756,True,
85,52309,True,
85,58376,True,
86,48756,True,
86,52309,True,
86,58376,True,
87,48756,True,
87,52309,True,
87,58376,True,
88,48756,True,
88,52309,True,
88,58376,True,
90,8330,True,84670
90,8331,True,84670
90,8332,True,84670
90,8333,True,84670
90,15862,True,84670
90,15863,True,84670
90,15864,True,84670
90,17568,True,84670
90,17570,True,84670
90,17572,True,84670
90,17573,True,84670
90,17574,True,84670
90,17575,True,84670
90,23077,True,84670
90,23078,True,84670
90,27414,True,84670
90,27415,True,84670
90,29552,True,84670
90,36724,True,84670
90,36725,True,84670
90,36726,True,84670
90,39511,True,84670
90,39512,True,84670
90,39513,True,84670
90,39744,True,84670
90,42631,True,84670
90,67230,True,84670
90,67231,True,84670
90,67232,True,84670
90,67233,True,84670
90,67234,True,84670
90,67235,True,84670
90,68985,True,84670
90,68986,True,84670
90,68987,True,84670
91,8330,True,84689
91,8331,True,84689
91,8332,True,84689
91,8333,True,84689
91,15862,True,84689
91,15863,True,84689
91,15864,True,84689
91,17568,True,84689
91,17570,True,84689
91,17572,True,84689
91,17573,True,84689
91,17574,True,84689
91,17575,True,84689
91,23077,True,84689
91,23078,True,84689
91,27414,True,84689
91,27415,True,84689
91,29552,True,84689
91,36724,True,84689
91,36725,True,84689
91,36726,True,84689
91,39511,True,84689
91,39512,True,84689
91,39513,True,84689
91,39744,True,84689
91,42631,True,84689
91,67230,True,84689
91,67231,True,84689
91,67232,True,84689
91,67233,True,84689
91,67234,True,84689
91,67235,True,84689
91,68985,True,84689
91,68986,True,84689
91,68987,True,84689
92,8330,True,84697
92,8331,True,84697
92,8332,True,84697
92,8333,True,84697
92,15862,True,84697
92,15863,True,84697
92,15864,True,84697
92,17568,True,84697
92,17570,True,84697
92,17572,True,84697
92,17573,True,84697
92,17574,True,84697
92,17575,True,84697
92,23077,True,84697
92,23078,True,84697
92,27414,True,84697
92,27415,True,84697
92,29552,True,84697
92,36724,True,84697
92,36725,True,84697
92,36726,True,84697
92,39511,True,84697
92,39512,True,84697
92,39513,True,84697
92,39744,True,84697
92,42631,True,84697
92,67230,True,84697
92,67231,True,84697
92,67232,True,84697
92,67233,True,84697
92,67234,True,84697
92,67235,True,84697
92,68985,True,84697
92,68986,True,84697
92,68987,True,84697
93,8330,True,
93,8331,True,
93,8332,True,
93,8333,True,
93,15862,True,
93,15863,True,
93,15864,True,
93,17568,True,
93,17570,True,
93,17572,True,
93,17573,True,
93,17574,True,
93,17575,True,
93,23077,True,
93,23078,True,
93,27414,True,
93,27415,True,
93,29552,True,
93,36724,True,
93,36725,True,
93,36726,True,
93,39511,True,
93,39512,True,
93,39513,True,
93,39744,True,
93,42631,True,
93,67230,True,
93,67231,True,
93,67232,True,
93,67233,True,
93,67234,True,
93,67235,True,
93,68985,True,
93,68986,True,
93,68987,True,
94,8330,True,
94,8331,True,
94,8332,True,
94,8333,True,
94,15862,True,
94,15863,True,
94,15864,True,
94,17568,True,
94,17570,True,
94,17572,True,
94,17573,True,
94,17574,True,
94,17575,True,
94,23077,True,
94,23078,True,
94,27414,True,
94,27415,True,
94,29552,True,
94,36724,True,
94,36725,True,
94,36726,True,
94,39511,True,
94,39512,True,
94,39513,True,
94,39744,True,
94,42631,True,
94,67230,True,
94,67231,True,
94,67232,True,
94,67233,True,
94,67234,True,
94,67235,True,
94,68985,True,
94,68986,True,
94,68987,True,
95,8330,True,84662
95,8331,True,84662
95,8332,True,84662
95,8333,True,84662
95,15862,True,84662
95,15863,True,84662
95,15864,True,84662
95,17568,True,84662
95,17570,True,84662
95,17572,True,84662
95,17573,True,84662
95,17574,True,84662
95,17575,True,84662
95,23077,True,84662
95,23078,True,84662
95,27414,True,84662
95,27415,True,84662
95,29552,True,84662
95,36724,True,84662
95,36725,True,84662
95,36726,True,84662
95,39511,True,84662
95,39512,True,84662
95,39513,True,84662
95,39744,True,84662
95,42631,True,84662
95,67230,True,84662
95,67231,True,84662
95,67232,True,84662
95,67233,True,84662
95,67234,True,84662
95,67235,True,84662
95,68985,True,84662
95,68986,True,84662
95,68987,True,84662
96,8330,True,
96,8331,True,
96,8332,True,
96,8333,True,
96,15862,True,
96,15863,True,
96,15864,True,
96,17568,True,
96,17570,True,
96,17572,True,
96,17573,True,
96,17574,True,
96,17575,True,
96,23077,True,
96,23078,True,
96,27414,True,
96,27415,True,
96,29552,True,
96,36724,True,
96,36725,True,
96,36726,True,
96,39511,True,
96,39512,True,
96,39513,True,
96,39744,True,
96,42631,True,
96,67230,True,
96,67231,True,
96,67232,True,
96,67233,True,
96,67234,True,
96,67235,True,
96,68985,True,
96,68986,True,
96,68987,True,
97,8330,True,84662
97,8331,True,84662
97,8332,True,84662
97,8333,True,84662
97,15862,True,84662
97,15863,True,84662
97,15864,True,84662
97,17568,True,84662
97,17570,True,84662
97,17572,True,84662
97,17573,True,84662
97,17574,True,84662
97,17575,True,84662
97,23077,True,84662
97,23078,True,84662
97,27414,True,84662
97,27415,True,84662
97,29552,True,84662
97,36724,True,84662
97,36725,True,84662
97,36726,True,84662
97,39511,True,84662
97,39512,True,84662
97,39513,True,84662
97,39744,True,84662
97,42631,True,84662
97,67230,True,84662
97,67231,True,84662
97,67232,True,84662
97,67233,True,84662
97,67234,True,84662
97,67235,True,84662
97,68985,True,84662
97,68986,True,84662
97,68987,True,84662
98,8330,True,
98,8331,True,
98,8332,True,
98,8333,True,
98,15862,True,
98,15863,True,
98,15864,True,
98,17568,True,
98,17570,True,
98,17572,True,
98,17573,True,
98,17574,True,
98,17575,True,
98,23077,True,
98,23078,True,
98,27414,True,
98,27415,True,
98,29552,True,
98,36724,True,
98,36725,True,
98,36726,True,
98,39511,True,
98,39512,True,
98,39513,True,
98,39744,True,
98,42631,True,
98,67230,True,
98,67231,True,
98,67232,True,
98,67233,True,
98,67234,True,
98,67235,True,
98,68985,True,
98,68986,True,
98,68987,True,
99,3115,True,58181
