Nome medicinale,Codice AIC,Principio attivo,Forma farmaceutica e dosaggio,Titolare AIC,Data inizio,Fine presunta,Equivalente,Motivazioni,Suggerimenti/Indicazioni AIFA,Nota AIFA,Classe di rimborsabilit�,Codice ATC,cleaned_atc,PRK
LANSOPRAZOLO AUROBINDO,42680076,LANSOPRAZOLO,"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE IN FLACONE HDPE",AUROBINDO PHARMA (ITALIA) S.R.L.,20/01/2022,,S�,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79391
LANSOPRAZOLO EG STADA,44145276,LANSOPRAZOLO,"""15 MG COMPRESSE ORODISPERSIBILI"" 14 COMPRESSE IN BLISTER AL/AL",EG S.P.A.,28/02/2025,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,
LANSOPRAZOLO PENSA,36704056,LANSOPRAZOLO,"""15  MG CAPSULE RIGIDE GASTRORESISTENTI "" 14 CAPSULE IN FLACONE HDPE",Towa Pharmaceutical S.p.A.,01/03/2025,30/09/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79383
LANSOPRAZOLO PENSA,36704029,LANSOPRAZOLO,"""15 MG CAPSULE RIGIDE GASTRORESISTENTI "" 28 CAPSULE",Towa Pharmaceutical S.p.A.,01/04/2025,30/09/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79383
LANSOPRAZOLO PENSA,36704068,LANSOPRAZOLO,"""15  MG CAPSULE RIGIDE GASTRORESISTENTI "" 28 CAPSULE IN FLACONE HDPE",Towa Pharmaceutical S.p.A.,19/05/2025,30/09/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79383
LANSOPRAZOLO PENSA,36704043,LANSOPRAZOLO,"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 28 CAPSULE",Towa Pharmaceutical S.p.A.,19/05/2025,30/09/2025,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79391
LANSOPRAZOLO ZENTIVA,36705022,LANSOPRAZOLO,"""15 MG CAPSULE RIGIDE GASTRORESISTENTI"" 28 CAPSULE",ZENTIVA ITALIA S.R.L.,29/03/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79383
LANSOPRAZOLO ZENTIVA,36705034,LANSOPRAZOLO,"""30 MG CAPSULE RIGIDE GASTRORESISTENTI"" 14 CAPSULE",ZENTIVA ITALIA S.R.L.,29/07/2024,,S�,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,A02BC03,A02BC03,79391
LANTANON,23695036,MIANSERINA CLORIDRATO,"""30MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE",ORGANON ITALIA S.R.L.,02/01/2025,10/02/2025,No,Problemi produttivi: distribuzione contingentata,"Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso",,A TOTALE CARICO DEL SSN.,N06AX03,N06AX03,16942
LARGACTIL,7899026,CLORPROMAZINA,"""25 MG COMPRESSE RIVESTITE CON FILM"" 25 COMPRESSE",TEOFARMA S.R.L.,31/01/2025,14/02/2025,No,Elevata richiesta/problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,,A TOTALE CARICO DEL SSN.,N05AA01,N05AA01,
