Spain_index,z_index_index,ATC_match,best_z_index_index
162,2631,True,71323
162,2826,True,71323
162,3531,True,71323
162,13283,True,71323
162,16248,True,71323
163,1704,True,48410
163,1705,True,48410
163,1706,True,48410
163,4796,True,48410
166,4679,True,97802
166,4681,True,97802
166,8468,True,97802
166,8470,True,97802
166,20566,True,97802
166,58679,True,97802
166,58680,True,97802
166,64298,True,97802
166,64299,True,97802
166,64300,True,97802
166,67078,True,97802
171,3184,True,60186
171,28046,True,60186
177,6411,True,117633
177,12945,True,117633
177,22000,True,117633
177,22001,True,117633
177,23243,True,117633
177,28670,True,117633
177,28671,True,117633
177,28839,True,117633
177,29129,True,117633
177,30478,True,117633
177,36879,True,117633
177,60608,True,117633
177,64839,True,117633
178,60488,True,
184,35338,True,
184,35339,True,
184,35340,True,
189,799,True,56197
189,800,True,56197
189,801,True,56197
189,910,True,56197
189,1227,True,56197
189,2758,True,56197
189,3757,True,56197
189,3758,True,56197
189,3759,True,56197
189,63000,True,56197
189,63001,True,56197
189,69197,True,56197
190,799,True,56197
190,800,True,56197
190,801,True,56197
190,910,True,56197
190,1227,True,56197
190,2758,True,56197
190,3757,True,56197
190,3758,True,56197
190,3759,True,56197
190,63000,True,56197
190,63001,True,56197
190,69197,True,56197
198,18570,True,100129
198,42859,True,100129
202,6539,True,
202,14747,True,
202,18278,True,
203,3845,True,195995
203,28710,True,195995
204,6411,True,75256
204,12945,True,75256
204,22000,True,75256
204,22001,True,75256
204,23243,True,75256
204,28670,True,75256
204,28671,True,75256
204,28839,True,75256
204,29129,True,75256
204,30478,True,75256
204,36879,True,75256
204,60608,True,75256
204,64839,True,75256
209,261,True,
209,9059,True,
209,9060,True,
209,9061,True,
212,3845,True,108898
212,28710,True,108898
221,11232,True,45020
222,2631,True,25534
222,2826,True,25534
222,3531,True,25534
222,13283,True,25534
222,16248,True,25534
224,4203,True,92894
224,4240,True,92894
224,15403,True,92894
224,15440,True,92894
224,18119,True,92894
224,20364,True,92894
228,21068,True,106070
228,21132,True,106070
228,38157,True,106070
231,2637,True,52825
231,2638,True,52825
231,2639,True,52825
231,7026,True,52825
231,7027,True,52825
231,52630,True,52825
234,14698,True,142638
234,18129,True,142638
234,30749,True,142638
234,35015,True,142638
234,35034,True,142638
234,35053,True,142638
234,64254,True,142638
234,64255,True,142638
234,64256,True,142638
237,3464,True,
237,3465,True,
237,7326,True,
237,14554,True,
237,18788,True,
239,3845,True,195995
239,28710,True,195995
244,19500,True,230715
244,19520,True,230715
247,1856,True,50520
247,1857,True,50520
247,21998,True,50520
254,13980,True,112437
254,13990,True,112437
254,14000,True,112437
254,18633,True,112437
254,18643,True,112437
254,18653,True,112437
254,21022,True,112437
254,23137,True,112437
254,23147,True,112437
254,23157,True,112437
254,23167,True,112437
254,23177,True,112437
254,23187,True,112437
254,25282,True,112437
254,25292,True,112437
254,25302,True,112437
254,25312,True,112437
254,28428,True,112437
254,28841,True,112437
254,28851,True,112437
254,29319,True,112437
254,29329,True,112437
254,29339,True,112437
254,29349,True,112437
254,29359,True,112437
254,29369,True,112437
254,29379,True,112437
254,29413,True,112437
254,29444,True,112437
254,29454,True,112437
254,34926,True,112437
254,34937,True,112437
254,34947,True,112437
254,34957,True,112437
254,34967,True,112437
254,34977,True,112437
254,34987,True,112437
254,37853,True,112437
254,37863,True,112437
254,37873,True,112437
254,40939,True,112437
254,40949,True,112437
254,40959,True,112437
254,40972,True,112437
254,41753,True,112437
254,41754,True,112437
254,41755,True,112437
254,42262,True,112437
254,45194,True,112437
254,45214,True,112437
254,45224,True,112437
254,45234,True,112437
254,45244,True,112437
254,58661,True,112437
254,69308,True,112437
254,73419,True,112437
254,73429,True,112437
254,73439,True,112437
254,73449,True,112437
254,73459,True,112437
255,35368,True,
261,3845,True,108898
261,28710,True,108898
262,12597,True,22209
262,12598,True,22209
262,12599,True,22209
262,24764,True,22209
262,26021,True,22209
262,39340,True,22209
262,39341,True,22209
262,39342,True,22209
262,39343,True,22209
262,39344,True,22209
262,47365,True,22209
262,47367,True,22209
262,47375,True,22209
262,47376,True,22209
262,47377,True,22209
262,47378,True,22209
262,47379,True,22209
262,48525,True,22209
262,48526,True,22209
262,48528,True,22209
262,48529,True,22209
262,48530,True,22209
262,49233,True,22209
262,49603,True,22209
262,52126,True,22209
262,54018,True,22209
262,54027,True,22209
262,54028,True,22209
262,54029,True,22209
262,55318,True,22209
262,57676,True,22209
262,57677,True,22209
262,57678,True,22209
262,60177,True,22209
262,60178,True,22209
262,60183,True,22209
262,63007,True,22209
262,63070,True,22209
262,63585,True,22209
262,64435,True,22209
262,65485,True,22209
262,65510,True,22209
262,65511,True,22209
262,66872,True,22209
262,67208,True,22209
262,68329,True,22209
262,68494,True,22209
262,68495,True,22209
262,69956,True,22209
262,71085,True,22209
262,72997,True,22209
263,4736,True,228826
