Sweden_index,z_index_index,ATC_match,best_z_index_index
38,36726,True,98175
38,39511,True,98175
38,39512,True,98175
38,39513,True,98175
38,39744,True,98175
38,42631,True,98175
38,67230,True,98175
38,67231,True,98175
38,67232,True,98175
38,67233,True,98175
38,67234,True,98175
38,67235,True,98175
38,68985,True,98175
38,68986,True,98175
38,68987,True,98175
39,8330,True,98175
39,8331,True,98175
39,8332,True,98175
39,8333,True,98175
39,15862,True,98175
39,15863,True,98175
39,15864,True,98175
39,17568,True,98175
39,17570,True,98175
39,17572,True,98175
39,17573,True,98175
39,17574,True,98175
39,17575,True,98175
39,23077,True,98175
39,23078,True,98175
39,27414,True,98175
39,27415,True,98175
39,29552,True,98175
39,36724,True,98175
39,36725,True,98175
39,36726,True,98175
39,39511,True,98175
39,39512,True,98175
39,39513,True,98175
39,39744,True,98175
39,42631,True,98175
39,67230,True,98175
39,67231,True,98175
39,67232,True,98175
39,67233,True,98175
39,67234,True,98175
39,67235,True,98175
39,68985,True,98175
39,68986,True,98175
39,68987,True,98175
40,8330,True,98175
40,8331,True,98175
40,8332,True,98175
40,8333,True,98175
40,15862,True,98175
40,15863,True,98175
40,15864,True,98175
40,17568,True,98175
40,17570,True,98175
40,17572,True,98175
40,17573,True,98175
40,17574,True,98175
40,17575,True,98175
40,23077,True,98175
40,23078,True,98175
40,27414,True,98175
40,27415,True,98175
40,29552,True,98175
40,36724,True,98175
40,36725,True,98175
40,36726,True,98175
40,39511,True,98175
40,39512,True,98175
40,39513,True,98175
40,39744,True,98175
40,42631,True,98175
40,67230,True,98175
40,67231,True,98175
40,67232,True,98175
40,67233,True,98175
40,67234,True,98175
40,67235,True,98175
40,68985,True,98175
40,68986,True,98175
40,68987,True,98175
41,8330,True,98175
41,8331,True,98175
41,8332,True,98175
41,8333,True,98175
41,15862,True,98175
41,15863,True,98175
41,15864,True,98175
41,17568,True,98175
41,17570,True,98175
41,17572,True,98175
41,17573,True,98175
41,17574,True,98175
41,17575,True,98175
41,23077,True,98175
41,23078,True,98175
41,27414,True,98175
41,27415,True,98175
41,29552,True,98175
41,36724,True,98175
41,36725,True,98175
41,36726,True,98175
41,39511,True,98175
41,39512,True,98175
41,39513,True,98175
41,39744,True,98175
41,42631,True,98175
41,67230,True,98175
41,67231,True,98175
41,67232,True,98175
41,67233,True,98175
41,67234,True,98175
41,67235,True,98175
41,68985,True,98175
41,68986,True,98175
41,68987,True,98175
42,8330,True,98175
42,8331,True,98175
42,8332,True,98175
42,8333,True,98175
42,15862,True,98175
42,15863,True,98175
42,15864,True,98175
42,17568,True,98175
42,17570,True,98175
42,17572,True,98175
42,17573,True,98175
42,17574,True,98175
42,17575,True,98175
42,23077,True,98175
42,23078,True,98175
42,27414,True,98175
42,27415,True,98175
42,29552,True,98175
42,36724,True,98175
42,36725,True,98175
42,36726,True,98175
42,39511,True,98175
42,39512,True,98175
42,39513,True,98175
42,39744,True,98175
42,42631,True,98175
42,67230,True,98175
42,67231,True,98175
42,67232,True,98175
42,67233,True,98175
42,67234,True,98175
42,67235,True,98175
42,68985,True,98175
42,68986,True,98175
42,68987,True,98175
43,8330,True,98183
43,8331,True,98183
43,8332,True,98183
43,8333,True,98183
43,15862,True,98183
43,15863,True,98183
43,15864,True,98183
43,17568,True,98183
43,17570,True,98183
43,17572,True,98183
43,17573,True,98183
43,17574,True,98183
43,17575,True,98183
43,23077,True,98183
43,23078,True,98183
43,27414,True,98183
43,27415,True,98183
43,29552,True,98183
