Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
BELKYRA;044896013;ACIDO DEOSSICOLICO;"""10 MG/ML SOLUZIONE INIETTABILE""  4 FLACONCINI IN VETRO DA 2 ML";ABBVIE S.R.L.;31/03/2025;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;C NON NEGOZIATA;D11AX24
BELLVERENE;042630018;DROSPIRENONE + ETINILESTRADIOLO;"""0,03 MG/3 MG COMPRESSE RIVESTITE CON FILM"" 1 X 21 COMPRESSE IN BLISTER PVC/PVDC/AL";EG S.P.A.;01/08/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G03AA12
BENACTIV GOLA;033262015;FLURBIPROFENE;"""2,5 MG/ML COLLUTTORIO"" FLACONE 160 ML";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;05/08/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A01AD11
BENAGOL;016242238;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;"""PASTIGLIE CON VITAMINA C GUSTO ARANCIA"" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;03/09/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA20
BENAGOL;016242240;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;"""PASTIGLIE GUSTO MIELE E LIMONE"" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;15/08/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA03
BENAGOL;016242190;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;"""PASTIGLIE GUSTO FRAGOLA SENZA ZUCCHERO"" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;22/07/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA03
BENAGOL;016242188;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;"""PASTIGLIA GUSTO MENTOLO-EUCALIPTOLO"" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;14/08/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA03
BENAGOL;016242214;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;"""PASTIGLIE GUSTO LIMONE SENZA ZUCCHERO"" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;21/08/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA03
BENAGOL;016242164;ACIDO ASCORBICO + ALCOOL 2.4 DICLOROBENZILICO + AMILMETACRESOLO + MENTOLO + SODIO ASCORBATO;""" PASTIGLIE GUSTO MENTA FREDDA "" 16 PASTIGLIE";RECKITT BENCKISER HEALTHCARE (ITALIA) S.P.A.;09/02/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R02AA03
BENAZEPRIL E IDROCLOROTIAZIDE AUROBINDO;038255333;BENAZEPRIL CLORIDRATO + IDROCLOROTIAZIDE;"""10MG/12.5MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER AL/AL";AUROBINDO PHARMA (ITALIA) S.R.L.;08/05/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09BA07
BENAZEPRIL IDROCLOROTIAZIDE SANDOZ;037422019;BENAZEPRIL CLORIDRATO + IDROCLOROTIAZIDE;"""10 MG + 12.5 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER ACLAR/PVC/AL";SANDOZ S.P.A.;01/11/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09BA07
BENAZEPRIL SANDOZ;037465111;BENAZEPRIL CLORIDRATO;"""10 MG COMPRESSE RIVESTITE CON FILM"" 14 COMPRESSE IN BLISTER ACLAR/PVC/AL";SANDOZ S.P.A.;23/09/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09AA07
BENAZEPRIL SANDOZ;037465034;BENAZEPRIL CLORIDRATO;"""5 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER ACLAR/PVC/AL";SANDOZ S.P.A.;01/12/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C09AA07
BENDAMUSTINA ACCORD;044327056;BENDAMUSTINA CLORIDRATO;"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG";ACCORD HEALTHCARE, S.L.U.;21/03/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01AA09
BENDAMUSTINA DR. REDDY'S;044575025;BENDAMUSTINA CLORIDRATO;"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 25 MG";DR. REDDY'S S.R.L.;01/08/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01AA09
BENDAMUSTINA DR. REDDY'S;044575064;BENDAMUSTINA CLORIDRATO;"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG";DR. REDDY'S S.R.L.;01/08/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01AA09
BENDAMUSTINA EG;044332029;BENDAMUSTINA CLORIDRATO;"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 25 MG";EG S.P.A.;31/08/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01AA09
BENDAMUSTINA EG;044332068;BENDAMUSTINA CLORIDRATO;"""2,5 MG/ML POLVERE PER CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 5 FLACONCINI IN VETRO DA 100 MG";EG S.P.A.;31/07/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01AA09
BENEXOL;020213132;CIANOCOBALAMINA + COCARBOSSILASI + IDROSSICOBALAMINA + PIRIDOSSINA CLORIDRATO + TIAMINA CLORIDRATO;"""DOSAGGIO ALTO POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 6 FIALE POLVERE + 6 FIALE SOLVENTE DA 2 ML";BAYER S.P.A.;23/01/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11DB
BENEXOL;020213118;CIANOCOBALAMINA + COCARBOSSILASI + IDROSSICOBALAMINA + PIRIDOSSINA CLORIDRATO + TIAMINA CLORIDRATO;"""DOSAGGIO BASSO POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE"" 6 FIALE POLVERE + 6 FIALE SOLVENTE 2 ML";BAYER S.P.A.;23/01/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A11DB
BENZAC;032143051;BENZOILPEROSSIDO;"""5% GEL"" TUBO IN PE DA 15 G";GALDERMA ITALIA S.P.A.;30/06/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D10AE01
BENZIDAMINA MYLAN PHARMA;045138017;BENZIDAMINA CLORIDRATO;�1,5 mg/ml spray per mucosa orale,  soluzione�  1 flacone in vetro con nebulizzatore da 30 ml (166 dosi);MYLAN S.P.A.;01/02/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A01AD02
BENZILPENICILLINA POTASSICA K24 PHARMACEUTICALS;036981013;PENICILLINA G POTASSICA;""" 1.000.000 UI/4 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE "" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE DA 4 ML";K24 PHARMACEUTICALS S.R.L.;25/05/2021;;No;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J01CE01
BETABIOPTAL;020305064;BETAMETASONE + CLORAMFENICOLO;""" 0,13% + 0,25% GEL OFTALMICO "" FLACONE DA 5 G";THEA FARMA S.P.A.;20/01/2025;;S�;Problemi produttivi: distribuzione contingentata (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;S01CA05
BETADINE;023907052;IODOPOVIDONE;"""10% SOLUZIONE CUTANEA"" FLACONE 1 LITRO";Viatris Healthcare Limited;01/01/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AG02
BETADINE;023907102;IODOPOVIDONE;"""10% SOLUZIONE CUTANEA""  FLACONE 1 LITRO SOLUZIONE ALCOOLICA";Viatris Healthcare Limited;11/10/2019;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D08AG02
BETADINE;023907025;IODOPOVIDONE;"""10% CONCENTRATO E SOLVENTE PER SOLUZIONE VAGINALE"" 5 FLACONI 140 ML + 5 FIALOIDI 10 ML + 5  CANNULE";Viatris Healthcare Limited;08/07/2024;;No;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G01AX11
BETAISTINA ACCORD;041431026;BETAISTINA DICLORIDRATO;"""8 MG COMPRESSE"" 60 COMPRESSE IN BLISTER PVC/PVDC-AL";ACCORD HEALTHCARE, S.L.U.;08/09/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA DOC;038782013;BETAISTINA DICLORIDRATO;"""24 MG COMPRESSE"" 20 COMPRESSE IN BLISTER PVC/PVDC/AL";DOC GENERICI SRL;23/01/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA DOC GENERICI;038839054;BETAISTINA DICLORIDRATO;"""16 MG COMPRESSE"" 20 COMPRESSE IN STRIP AL/PVC/PVDC";DOC GENERICI SRL;29/12/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA DOC GENERICI;038839027;BETAISTINA DICLORIDRATO;"""8 MG COMPRESSE"" 50 COMPRESSE IN STRIP AL/PVC/PVDC";DOC GENERICI SRL;09/06/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA EG;046008114;BETAISTINA DICLORIDRATO;"""24 MG COMPRESSE"" 20 COMPRESSE IN BLISTER PA/AL/PVC/AL";EG S.P.A.;03/10/2022;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA EG;046008037;BETAISTINA DICLORIDRATO;"""8 MG COMPRESSE"" 50 COMPRESSE IN BLISTER PA/AL/PVC/AL";EG S.P.A.;31/10/2021;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAISTINA EG;046008064;BETAISTINA DICLORIDRATO;"""16 MG COMPRESSE"" 20 COMPRESSE IN BLISTER PA/AL/PVC/AL";EG S.P.A.;14/10/2024;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N07CA01
BETAMETASONE EG;039731029;BETAMETASONE SODIO FOSFATO;"""4 MG/2 ML SOLUZIONE INIETTABILE"" 3 FIALE DA 2 ML";EG S.P.A.;28/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H02AB01
BETAMETASONE EG;039731017;BETAMETASONE SODIO FOSFATO;"""1,5 MG/2 ML SOLUZIONE INIETTABILE"" 6 FIALE DA 2 ML";EG S.P.A.;28/02/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H02AB01
BETAMETASONE ZENTIVA;045799018;BETAMETASONE;"""0,5 MG COMPRESSe EFFERVESCENTi"" 10 COMPRESSE IN BLISTER PA/AL/PVC";ZENTIVA ITALIA S.R.L.;31/05/2025;;S�;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H02AB01
BEYFORTUS;050403029;NIRSEVIMAB;50 mg - Soluzione iniettabile - Uso intramuscolare - Siringa preriempita (vetro) - 0,5 ml (100 mg/ml) - 1 siringa pre-riempita + 2 aghi;SANOFI WINTHROP INDUSTRIE;28/10/2024;;No;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DELL'ASSISTITO;J06BD08
BEYFORTUS;050403056;NIRSEVIMAB;100 mg - Soluzione iniettabile - Uso intramuscolare - Siringa preriempita (vetro) - 1 ml (100 mg/ml) - 1 siringa pre-riempita + 2 aghi;SANOFI WINTHROP INDUSTRIE;06/11/2024;;No;Elevata richiesta;Rilasciata determinazione per l�importazione al titolare A.I.C.;Confezioni importate dal titolare disponibili dal 27.11.2024;A TOTALE CARICO DELL'ASSISTITO;J06BD08
BICALUTAMIDE TEVA;038352023;BICALUTAMIDE;"""50 MG COMPRESSE RIVESTITE CON FILM"" 28 COMPRESSE IN BLISTER PVC/PVDC/AL";TEVA ITALIA S.R.L.;04/02/2025;30/04/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;L02BB03
BIDIEN;026297034;BUDESONIDE;"""0,025% SOLUZIONE CUTANEA""FLACONE 30 ML";IDI FARMACEUTICI S.R.L.;01/01/2020;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;D07AC09
BILASTINA PENSA;048946014;BILASTINA;"""20 MG COMPRESSE"" 20 COMPRESSE IN BLISTER AL/AL";Towa Pharmaceutical S.p.A.;01/04/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R06AX29
BILASTINA ZENTIVA;049144025;BILASTINA;"""20 MG COMPRESSE"" 20 COMPRESSE IN BLISTER AL/AL";ZENTIVA ITALIA S.R.L.;31/01/2025;;S�;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R06AX29
BIMATOPROST E TIMOLOLO MYLAN;045147030;BIMATOPROST + TIMOLOLO;""" 0,3MG/ML + 5MG/ML COLLIRIO, SOLUZIONE "" 1 FLACONE LDPE DA 3 ML CON CONTAGOCCE";MYLAN S.P.A.;01/10/2024;;S�;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED51
BIMATOPROST E TIMOLOLO ZENTIVA;049043019;BIMATOPROST + TIMOLOLO;"""0,3 MG/ML + 5 MG/ML COLLIRIO, SOLUZIONE"" 1 FLACONE IN LDPE DA 3 ML CON CONTAGOCCE";ZENTIVA ITALIA S.R.L.;30/09/2025;;S�;Motivi commerciali;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;S01ED51
BINOCRIT;038190017;EPOETINA ALFA;"""1.000 UI/0,5 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO)- USO SOTTOCUTANEO O ENDOVENOSO - 0,5ML (2.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;29/03/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190056;EPOETINA ALFA;"""3.000 UI/3,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,3 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;29/03/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190144;EPOETINA ALFA;"""8.000 UI/0,8 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,8 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190132;EPOETINA ALFA;"""8.000 UI/0,8 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,8 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190120;EPOETINA ALFA;"""6.000 UI/0,6 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,6 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190118;EPOETINA ALFA;"""6.000 UI/0,6 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,6 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;15/07/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190106;EPOETINA ALFA;"""5.000 UI/0,5 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,5 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190094;EPOETINA ALFA;"""5.000 UI/0,5 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,5 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190258;EPOETINA ALFA;"""40.000 UI/1,0 ML-SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA -(VETRO)-USO SOTTOCUTANEO O ENDOVENOSO-1,0 ML(40.000 UI)""1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190082;EPOETINA ALFA;"""4.000 UI/0,4 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,4 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190070;EPOETINA ALFA;"""4.000 UI/0,4 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,4 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190233;EPOETINA ALFA;""" 30.000 UI/0,75 ML-SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA -(VETRO)-USO SOTTOCUTANEO O ENDOVENOSO-0,75ML(40.000 UI/ML)""1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190068;EPOETINA ALFA;"""3.000 UI/3,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,3 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190219;EPOETINA ALFA;"""20.000 UI/0,5 ML-SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA -(VETRO)-USO SOTTOCUTANEO O ENDOVENOSO-0,5ML(40.000 UI/ML)""1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190043;EPOETINA ALFA;"""2.000 UI/1,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 1,0ML (2.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190031;EPOETINA ALFA;"""2.000 UI/1,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 1,0ML (2.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190169;EPOETINA ALFA;"""10.000 UI/1,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 1,0 ML (10.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
BINOCRIT;038190157;EPOETINA ALFA;"""10.000 UI/1,0 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 1,0 ML (10.000 UI/ML)"" 1 SIRINGA PRERIEMPITA";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B03XA01
BINOCRIT;038190029;EPOETINA ALFA;"""1.000 UI/0,5 ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA (VETRO) - USO SOTTOCUTANEO O ENDOVENOSO- 0,5 ML (2.000 UI/ML)"" 6 SIRINGHE PRERIEMPITE";SANDOZ GMBH;04/10/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;B03XA01
