Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
OMNITROPE;037106073;SOMATROPINA;"""10MG/1,5ML SOLUZIONE INIETTABILE IN UNA CARTUCCIA - SOTTOCUTANEA - CARTUCCIA (VETRO)"" 1,5 ML 1 CARTUCCIA";SANDOZ GMBH;11/07/2016;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H01AC01
OMNITROPE;037106162;SOMATROPINA;10 MG/1,5ML - SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) PER SUREPAL 10  1,5 ML  - 1 CARTUCCIA;SANDOZ GMBH;15/12/2024;;No;Elevata richiesta: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H01AC01
ONDANSETRON B. BRAUN;038128070;ONDANSETRON CLORIDRATO DIIDRATO;""" 0,16 MG/ML SOLUZIONE PER INFUSIONE "" 10 FLACONI IN LPDE DA 50 ML";B. BRAUN MELSUNGEN AG;18/11/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;A04AA01
ONDANSETRONE ACCORD HEALTHCARE;040469037;ONDANSETRON CLORIDRATO DIIDRATO;"""2 MG/ML SOLUZIONE INIETTABILE O PER INFUSIONE"" 5 FIALE IN VETRO DA 4 ML";ACCORD HEALTHCARE, S.L.U.;01/12/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A04AA01
ONDANSETRONE ACCORD HEALTHCARE;040469025;ONDANSETRON CLORIDRATO DIIDRATO;"""2 MG/ML SOLUZIONE INIETTABILE O PER INFUSIONE"" 10 FIALE IN VETRO DA 2 ML";ACCORD HEALTHCARE, S.L.U.;22/04/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A04AA01
ONDANSETRONE AUROBINDO;044484032;ONDANSETRON CLORIDRATO DIIDRATO;"""2 MG/ML SOLUZIONE INIETTABILE O PER INFUSIONE"" 10 FIALE IN VETRO DA 2 ML";Eugia Pharma (Malta) Limited;16/04/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A04AA01
ONDANSETRONE MYLAN GENERICS ITALIA;037549019;ONDANSETRONE CLORIDRATO;"""2 MG/ML SOLUZIONE INIETTABILE"" 1 FIALA IN VETRO DA 2 ML";MYLAN S.P.A.;29/07/2014;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A04AA01
ONILAQ;041906013;AMOROLFINA CLORIDRATO;"""5% SMALTO MEDICATO PER UNGHIE"" 1 FLACONE IN VETRO DA 2,5 ML CON ACCESSORI (30 LIMETTE PER UNGHIE, 30 TAMPONI DETERGENTI, 30 APPLICATORI)";GALDERMA ITALIA S.P.A.;02/08/2018;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D01AE16
ONILAQARE;028122036;AMOROLFINA CLORIDRATO;"""5% SMALTO MEDICATO PER UNGHIE""  1 FLACONE  2,5 ML + 10 SPATOLE";GALDERMA ITALIA S.P.A.;20/09/2019;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D01AE16
OPDUALAG;050359013;NIVOLUMAB + RELATLIMAB;240 mg / 80 mg - Concentrato per soluzione per infusione - Uso endovenoso - Flaconcino (vetro) 20 ml (12 mg/ml / 4 mg/ml) - 1 flaconcino;BRISTOL-MYERS SQUIBB PHARMA EEIG;15/01/2025;27/01/2025;No;Elevata richiesta;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01FY02
OPTINATE;034570034;RISEDRONATO SODICO;"""5 MG COMPRESSE RIVESTITE CON FILM"" 28 (2X14) COMPRESSE IN BLISTER";THERAMEX IRELAND LIMITED;01/07/2014;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;M05BA07
OPTIRAY;027674035;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE""  FLACONE 50 ML";GUERBET;31/12/2019;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674136;IOVERSOLO;"""300 MG/ML SOLUZIONE INIETTABILE"" FLACONE 100 ML";GUERBET;31/10/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674151;IOVERSOLO;"""350 MG/ML SOLUZIONE INIETTABILE"" FLACONE 50 ML";GUERBET;31/10/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674252;IOVERSOLO;""" 300 MG/ML SOLUZIONE INETTABILE "" 10 SIRINGHE PRERIEMPITE 125 ML";GUERBET;31/12/2019;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674249;IOVERSOLO;""" 300 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE 100 ML";GUERBET;01/07/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674288;IOVERSOLO;""" 320 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE 125 ML";GUERBET;01/04/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674276;IOVERSOLO;""" 320 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE 100 ML";GUERBET;01/04/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674302;IOVERSOLO;""" 350 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE DA 75 ML";GUERBET;01/11/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674314;IOVERSOLO;""" 350 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE DA 125 ML";GUERBET;01/06/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674290;IOVERSOLO;""" 350 MG/ML SOLUZIONE INIETTABILE "" 10 SIRINGHE PRERIEMPITE 100 ML";GUERBET;01/12/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674047;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE""  FLACONE 100 ML";GUERBET;01/06/2023;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674338;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE"" 20 SIRINGHE PRERIEMPITE DA 100 ML";GUERBET;01/07/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674340;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE"" 20 SIRINGHE PRERIEMPITE DA 125 ML";GUERBET;01/06/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674365;IOVERSOLO;"""350 MG/ML SOLUZIONE INIETTABILE"" 20 SIRINGHE PRERIEMPITE DA 100 ML";GUERBET;01/12/2022;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674237;IOVERSOLO;"""350 MG/ML SOLUZIONE INIETTABILE"" FLACONE 500 ML";GUERBET;28/04/2023;25/09/2025;No;Elevata richiesta: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674175;IOVERSOLO;"""350 MG/ML SOLUZIONE INIETTABILE"" FLACONE 150 ML";GUERBET;04/12/2024;03/12/2025;No;Elevata richiesta/problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
OPTIRAY;027674225;IOVERSOLO;"""320 MG/ML SOLUZIONE INIETTABILE"" FLACONE 500 ML";GUERBET;03/12/2024;28/11/2025;No;Elevata richiesta/problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;V08AB07
