nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
109,16524683,CLOZAPINE GLENMARK TABLET 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
110,15698696,COLISTIN PDR V VERNEVELOPL FL 1 MILJ IE + SOLV 3ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
111,16164776,CONSTELLA CAPSULE 290MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
112,16812557,CREON 5000 GRANULAAT MSR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
113,13803719,"CUTIVATE HYDROFOBE ZALF 0,05MG/G",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
114,13803735,"CUTIVATE HYDROFOBE ZALF 0,05MG/G",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
115,13871145,CYKLOKAPRON TABLET FILMOMHULD 500MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
116,17348064,DABIGATRAN ETEXILAAT XIROMED CAPSULE 150MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
117,16869737,DAILIPORT CAPSULE MVA 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
118,17091128,DEFERASIROX MYLAN TABLET FILMOMHULD 360MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
119,17038804,DEFERASIROX TEVA TABLET FILMOMHULD 360MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
120,15071111,DEPAKINE CHRONOSPHERE GRANULAAT MGA 250MG IN SACH,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
121,17034310,DEPAKINE INJECTIEPOEDER FLAC 400MG + SOLV 4ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
122,15945375,"DESLORATADINE DOUBLE-E PHARMA DRANK 0,5MG/ML",,False,False,False,False,False,False,,V,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
123,15086852,"DESMOPRESSINE ACETAAT SANDOZ TABLET 0,1MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
124,14980665,DESURIC TABLET 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
125,14787822,DETRUSITOL SR CAPSULE MVA 2MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
126,14696053,DETRUSITOL SR CAPSULE MVA 4MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
127,14189623,DETRUSITOL TABLET OMHULD 1MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
128,14189674,DETRUSITOL TABLET OMHULD 2MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
129,14271265,DEXA POS OOGDRUPPELS 1MG/ML FLACON 10ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
130,16931629,DEXAMETHASON TRAMEDICO OOGDR 1MG/ML Z CONS FL 5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
131,17056977,DEXMONO CONSERVEERMIDDELVR OOGDR 1MG/ML FLACON 6ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
132,17399211,DIAVORIN INJVLST 6MG/ML PEN 3ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
133,14127873,DIAZEPAM CF TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
134,13908820,DIAZEPAM PCH TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
135,15292371,DIAZEPAM TEVA TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
136,14271338,DICLOFENAC NATRIUM AUROBINDO RET TABLET MGA 75MG,,False,False,False,False,False,False,,Niet preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
137,14301814,DICLOFENAC NATRIUM PCH TABLET MSR 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
138,12116289,"DIPROSONE LOTION 0,5MG/G (0,05%)",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
139,12116246,"DIPROSONE ZALF 0,5MG/G (0,05%)",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
140,16058542,DIPYRIDAMOL SANDOZ RETARD CAPSULE MGA 200MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
141,13889176,"DORMICUM TABLET 7,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
142,15189708,DOXAZOSINE MYLAN RETARD TABLET MVA 4MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
143,15861465,DOXAZOSINE SANDOZ RETARD TABLET MVA 8MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
144,16080092,DUAKLIR GENUAIR INHPDR 340/12MCG 60DO,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
145,17184339,DUCRESSA OOGDRUPPELS 1/5MG/ML FLACON 5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
146,16345223,"DUTASTERIDE TEVA CAPSULE 0,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
147,16920511,"DUTASTERIDE/TAMSULOSINE HCL AUROBIN CAPS 0,5/0,4MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
148,16920538,"DUTASTERIDE/TAMSULOSINE HCL AUROBIN CAPS 0,5/0,4MG",,False,False,False,False,False,False,,Is GDS verp. Niet pref. 16920511 is preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
149,16857208,"DUTASTERIDE/TAMSULOSINE HCL TEVA CAPS 0,5/0,4MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
150,16602196,EFAVIRENZ/EMTRIC/TENOF MYL TB FILMOM 600/200/245MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
151,16378741,EFAVIRENZ/EMTRIC/TENOF TEV TB FILMOM 600/200/245MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
152,15450368,EFUDIX CREME 50MG/G,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
153,14068494,ELOCON WATEREMULGERENDE ZALF 1MG/G,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
154,16815386,ELVANSE CAPSULE 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
155,17086000,ELVANSE CAPSULE 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
156,14721902,EMESAFENE TABLET,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
157,16627776,EMESAFENE ZETPIL,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
158,16596617,EMTRICITABINE/TENOFOVIRDIS GLEN TAB OMH 200/245MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
159,17127653,EMTRICITABINE/TENOFOVIRDIS MYLAN TAB OMH 200/245MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
160,17204550,EMYLIF ORODISPERGEERBARE FILM 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
161,14327112,ENALAPRIL MALEAAT MYLAN TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
162,15450813,ENALAPRIL MALEAAT MYLAN TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
163,14327120,ENALAPRIL MALEAAT MYLAN TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
164,14899450,ENALAPRIL MALEAAT MYLAN TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
165,14899469,ENALAPRIL MALEAAT MYLAN TABLET 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
166,14945983,ENALAPRIL/HYDROCHLOORTHIAZIDE CF TABLET 20/ 6 MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
167,15107027,ENALAPRIL/HYDROCHLOORTHIAZIDE SANDOZ TAB 20/6MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
168,15843165,"ENALAPRIL/HYDROCHLOORTHIAZIDE TEVA TABL 20/12,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
169,16116658,ENDOXAN INJECTIEPOEDER FLACON 750MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
170,16789547,ENOXAPARINE BECAT INJVLST 10.000IE (100MG)/1ML WW,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
171,16789539,"ENOXAPARINE BECAT INJVLST 8.000IE (80MG)/0,8ML WW",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
172,15825558,ENTACAPONE TEVA TABLET FILMOMHULD 200MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
173,15950999,ENTACAPONE UNICHEM TABLET FILMOMHULD 200MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
174,16189868,EPLERENON ACCORD TABLET FILMOMHULD 25MG,,False,False,False,False,False,False,,Tijdelijk te bestellen bij Vivanta,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
175,16054873,EPLERENON TEVA TABLET FILMOMHULD 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
176,17241405,EPLERENON VIVANTA TABLET FILMOMHULD 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
177,15342336,ERYTHROCINE TABLET 250MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
178,15324788,ERYTHROCINE-ES KERSEN GRAN V SUSP 125MG/5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
179,15324796,ERYTHROCINE-ES KERSEN GRAN V SUSP 250MG/5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
180,16016629,ESCITALOPRAM SANDOZ DRUPPELS 20MG/ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
181,16193415,ESOMEPRAZOL ARISTO CAPSULE MSR 40MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
182,15623971,ESOMEPRAZOL PCH CAPSULE MSR 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
183,16012372,ESOMEPRAZOL SANDOZ CAPSULE MSR 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
184,17409667,ESOMEPRAZOL SANDOZ CAPSULE MSR 40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
185,17349737,ESOMEPRAZOL SUN CAPSULE MSR 20MG,,False,False,False,False,False,False,,Worden vervangen door tabletten - ZI 16751639,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
186,17349745,ESOMEPRAZOL SUN CAPSULE MSR 40MG,,False,False,False,False,False,False,,Worden vervangen door tabletten - ZI 16751647,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
187,15950603,"ETHINYLESTRADIOL/DROSPIR 24+4 MYL TAB OMH 0,02/3MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
188,15360253,"ETHINYLESTRADIOL/LEVONORGES SDZ TAB OMH 0,02/0,1MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
189,16573439,"ETONOGES/ETHINYLEST VIA RING VAG 0,120/0,015MG/24U",U,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
190,16529952,ETORICOXIB GLENMARK TABLET FILMOMHULD 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
191,16529960,ETORICOXIB GLENMARK TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
192,16528026,ETORICOXIB SANDOZ TABLET FILMOMHULD 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
193,16528034,ETORICOXIB SANDOZ TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
194,16528069,ETORICOXIB SANDOZ TABLET FILMOMHULD 90MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
195,16311043,ETORICOXIB TEVA TABLET FILMOMHULD 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
196,16530993,ETORICOXIB VIATRIS TABLET FILMOMHULD 60MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
197,15651444,EXEMESTAAN SANDOZ TABLET FILMOMHULD 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
198,16644840,EZETIMIBE GLENMARK TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
199,16782224,EZETIMIBE/SIMVASTATINE GLENMARK TABLET 10/10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
200,16782232,EZETIMIBE/SIMVASTATINE GLENMARK TABLET 10/20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
201,16782240,EZETIMIBE/SIMVASTATINE GLENMARK TABLET 10/40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
202,16782259,EZETIMIBE/SIMVASTATINE GLENMARK TABLET 10/80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
203,17132495,EZETIMIBE/SIMVASTATINE KRKA TABLET 10/40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
204,17152550,EZETIMIBE/SIMVASTATINE SUN TABLET 10/40MG,,False,False,False,False,False,False,,Verwacht week 8,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
205,16595211,EZETIMIBE/SIMVASTATINE TEVA TABLET 10/20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
206,16595246,EZETIMIBE/SIMVASTATINE TEVA TABLET 10/40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
207,16744713,EZETIMIBE/SIMVASTATINE VIATRIS TABLET 10/40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
208,16744721,EZETIMIBE/SIMVASTATINE VIATRIS TABLET 10/40MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
209,17426405,FAMOTIDINE AUROBINDO TABLET FILMOMHULD 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
210,17284112,FEBUXOSTAT VIVANTA TABLET FILMOMHULD 80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
211,14985802,FELODIPINE RP TABLET MGA 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
212,13766813,FENOBARBITAL TEVA TABLET 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
213,13766848,FENOBARBITAL TEVA TABLET 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
214,17157153,FENTANYL GLENMARK TABLET SUBLINGUAAL 200MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
215,15920356,FENTANYL MATRIX VIATRIS PLEISTER 50MCG/UUR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
216,15920348,FENTANYL MATRIX VIATRIS PLEISTER 25MCG/UUR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
217,16891643,FENTANYL SANDOZ TABLET SUBLINGUAAL 200MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
218,16891597,FENTANYL SANDOZ TABLET SUBLINGUAAL 600MCG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
219,15704866,FENTANYL TEVA PLEISTER 12MCG/UUR,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
220,17238994,FESOTERODINE ACCORD TABLET MVA 4MG,,False,False,False,False,False,False,,Week 7,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
221,17150140,FEXOFENADINE HCL AMAROX TABLET OMHULD 180MG,,False,False,False,False,False,False,,Week 7,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
222,17333296,FEXOFENADINE HCL AUROBINDO TABLET OMHULD 180MG,,False,False,False,False,False,False,,Beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
223,15336484,FEXOFENADINE HCL PCH TABLET OMHULD 180MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
224,17268974,FEXOFENADINE HCL VIATRIS TABLET OMHULD 120MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
225,16975235,"FILIOP OOGDRUPPELS FLACON 2,5ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
226,16409434,FINASTERIDE AUROBINDO TABLET FILMOMHULD 1MG,,False,False,False,False,False,False,,Niet preferent.,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
227,15985415,FINASTERIDE TEVA TABLET FILMOMHULD 1MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
228,17128722,"FINGOLIMOD MYLAN CAPSULE 0,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
229,14832380,FLECAINIDEACETAAT MYLAN TABLET 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
230,16032039,FLECAINIDEACETAAT SANDOZ RETARD CAPSULE MVA 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
231,14949334,FLUCONAZOL TEVA CAPSULE 150MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
232,14289504,FLUOXETINE VIATRIS CAPSULE 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
233,15759393,FLUOXETINE VIATRIS CAPSULE 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
234,15144453,FLUTICASONPROPIONAAT TEVA NEUSSPR 50MCG/DO FL 150D,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
235,15373355,FLUVASTATINE PCH CAPSULE 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
236,16300386,FOLIKABI INJ/INFVLST 10MG/ML FLACON 20ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
237,17351774,FOLINEZUUR KALCEKS INJ/INFVLST 10MG/ML FLACON 10ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
238,17351782,FOLINEZUUR KALCEKS INJ/INFVLST 10MG/ML FLACON 20ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
239,17088208,FOLIUMZUUR TEVA TABLET 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
240,16932528,FOSFOMYCINE 1A PHARMA PDR V DR 3000MG/8G IN SACH,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
241,15046222,FOSINOPRILNATRIUM MYLAN TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
242,15064565,FOSINOPRILNATRIUM MYLAN TABLET 10MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
243,15046230,FOSINOPRILNATRIUM MYLAN TABLET 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
244,15064573,FOSINOPRILNATRIUM MYLAN TABLET 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
245,14074028,"FRAGMIN 7500 INJVLST 25.000IE/ML WWSP 0,3ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
246,14161524,"FRAGMIN 15000 INJVLST 25.000IE/ML WWSP 0,6ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
247,12329657,FUCIDIN LEO ZALF 20MG/G,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
248,12121614,FUNGIZONE SUSPENSIE 100MG/ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
249,12337528,FURADANTINE MC CAPSULE 50MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
250,16655303,FUROSEMIDE ACCORD INJVLST 10MG/ML AMPUL 4ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
251,15703525,FUROSEMIDE TEVA TABLET 500MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
252,17120101,FUROSEMIDE XIROMED TABLET 20MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
253,16007514,FYCOMPA TABLET FILMOMHULD 2MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
254,15822583,GABAPENTINE MYLAN CAPSULE 100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
255,15531740,GABAPENTINE SANDOZ CAPSULE 400MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
256,15744469,GALANTAMINE MYLAN RETARD CAPSULE MVA 24MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
257,15744485,GALANTAMINE MYLAN RETARD CAPSULE MVA 24MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
258,16877829,"GANMONO CONSERVEERMIDDELVR OOGDR 0,3MG/ML FLAC 3ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
259,16066715,"GLEPARK TABLET 0,125MG (0,088MG BASE)",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
260,15724476,"GLEPARK TABLET 0,25MG (0,18MG BASE)",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
261,14781247,GLICLAZIDE MYLAN RETARD TABLET MGA 80MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
262,16158822,GLICLAZIDE SANDOZ TABLET MGA 30MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
263,13675109,GLUCAGEN HYPOKIT INJPDR FL 1MG SOLV WWSP 1ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
264,16618343,GRINTEROL CAPSULE 250MG,U,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
265,14002221,HUMALOG INJVLST 100E/ML FLACON 10ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
266,15279456,"HYDROCHLOORTHIAZIDE TEVA TABLET 12,5MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
267,15279022,HYDROCHLOORTHIAZIDE TEVA TABLET 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
268,17112672,HYDROCORTISON TIOFARMA TABLET FILMOMHULD 5MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
269,17239745,"HYRIMOZ 40MG SENSOREADY INJVLST 100MG/ML PEN 0,4ML",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
270,15800652,IBANDRONINEZUUR MYLAN TABLET FILMOMHULD 150MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
271,15800660,IBANDRONINEZUUR MYLAN TABLET FILMOMHULD 150MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
